year	month	positive tests	negative tests
2010	1	6	289
2010	2	12	272
2010	3	15	338
2010	4	7	350
2010	5	5	245
2010	6	1	319
2010	7	0	205
2010	8	0	172
2010	9	0	220
2010	10	0	199
2010	11	0	219
2010	12	0	244
2011	1	0	291
2011	2	0	273
2011	3	1	353
2011	4	1	252
2011	5	1	248
2011	6	2	167
2011	7	1	118
2011	8	0	130
2011	9	0	193
2011	10	0	233
2011	11	0	231
2011	12	0	236
2012	1	1	303
2012	2	3	392
2012	3	12	423
2012	4	0	290
2012	5	3	235
2012	6	5	219
2012	7	1	141
2012	8	1	170
2012	9	0	171
2012	10	1	217
2012	11	0	267
2012	12	0	301
2013	1	2	379
2013	2	2	389
2013	3	2	333
2013	4	4	371
2013	5	1	280
2013	6	0	212
2013	7	0	185
2013	8	0	170
2013	9	0	244
2013	10	0	242
2013	11	1	278
2013	12	2	320
2014	1	1	399
2014	2	8	484
2014	3	10	416
2014	4	7	363
2014	5	4	327
2014	6	2	311
2014	7	0	203
2014	8	0	217
2014	9	1	330
2014	10	3	365
2014	11	0	399
2014	12	0	452
2015	1	1	377
2015	2	7	515
2015	3	4	500
2015	4	2	431
2015	5	1	391
2015	6	0	321
2015	7	0	270
2015	8	0	291
2015	9	0	349
2015	10	1	415
2015	11	1	402
2015	12	0	494
2016	1	8	643
2016	2	10	779
2016	3	12	678
2016	4	7	550
2016	5	4	482
2016	6	0	389
2016	7	0	327
2016	8	0	344
2016	9	0	442
2016	10	2	491
2016	11	1	518
2016	12	2	688
2017	1	1	683
2017	2	6	726
2017	3	17	771
2017	4	6	572
2017	5	6	574
2017	6	2	585
2017	7	0	393
2017	8	0	406
2017	9	0	472
2017	10	1	584
2017	11	1	626
2017	12	1	724
2018	1	1	813
2018	2	4	918
2018	3	9	850
2018	4	18	566
2018	5	6	545
2018	6	2	512
2018	7	0	415
2018	8	0	406
2018	9	0	503
2018	10	1	559
2018	11	1	615
2018	12	0	807
2019	1	4	941
2019	2	9	1008
2019	3	10	814
2019	4	10	776
2019	5	3	716
2019	6	3	553
2019	7	1	456
2019	8	4	476
2019	9	1	566
2019	10	0	758
2019	11	0	737
2019	12	0	764
2020	1	0	947
2020	2	0	12
