year	month	positive tests	negative tests
2010	1	22	568
2010	2	27	541
2010	3	14	692
2010	4	6	708
2010	5	2	498
2010	6	7	633
2010	7	0	410
2010	8	0	344
2010	9	1	439
2010	10	1	397
2010	11	5	433
2010	12	31	457
2011	1	19	563
2011	2	9	537
2011	3	4	704
2011	4	6	500
2011	5	7	491
2011	6	5	333
2011	7	1	237
2011	8	2	258
2011	9	2	384
2011	10	1	464
2011	11	3	460
2011	12	13	459
2012	1	24	584
2012	2	20	770
2012	3	12	858
2012	4	3	576
2012	5	7	469
2012	6	0	448
2012	7	2	282
2012	8	1	341
2012	9	1	341
2012	10	1	435
2012	11	14	520
2012	12	33	569
2013	1	25	737
2013	2	9	773
2013	3	10	661
2013	4	9	740
2013	5	3	559
2013	6	2	420
2013	7	1	369
2013	8	1	339
2013	9	0	488
2013	10	1	483
2013	11	15	543
2013	12	37	609
2014	1	26	775
2014	2	21	963
2014	3	5	847
2014	4	4	736
2014	5	5	657
2014	6	11	615
2014	7	3	403
2014	8	1	433
2014	9	2	660
2014	10	7	729
2014	11	24	774
2014	12	43	861
2015	1	9	747
2015	2	8	1036
2015	3	2	1006
2015	4	4	862
2015	5	9	775
2015	6	6	636
2015	7	3	537
2015	8	0	582
2015	9	5	693
2015	10	6	826
2015	11	7	799
2015	12	38	950
2016	1	37	1265
2016	2	23	1555
2016	3	11	1369
2016	4	8	1106
2016	5	3	969
2016	6	7	771
2016	7	4	650
2016	8	1	687
2016	9	6	878
2016	10	7	979
2016	11	20	1018
2016	12	52	1328
2017	1	32	1336
2017	2	16	1448
2017	3	16	1560
2017	4	16	1140
2017	5	8	1152
2017	6	12	1162
2017	7	4	782
2017	8	1	811
2017	9	1	943
2017	10	3	1167
2017	11	12	720
2017	12	43	682
2018	1	17	797
2018	2	12	910
2018	3	13	850
2018	4	7	578
2018	5	10	541
2018	6	6	508
2018	7	2	415
2018	8	2	404
2018	9	3	500
2018	10	1	559
2018	11	9	607
2018	12	35	772
2019	1	30	915
2019	2	14	1004
2019	3	18	806
2019	4	8	779
2019	5	7	712
2019	6	3	553
2019	7	4	453
2019	8	0	480
2019	9	0	567
2019	10	3	755
2019	11	4	733
2019	12	17	747
2020	1	30	917
2020	2	0	12
